127.0.0.1 - - [18/Feb/2020:11:22:01 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [18/Feb/2020:11:22:07 +0800] "GET /wcExportAndImport/OrderStatistic/getOrderSShippingPlan HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Feb/2020:11:22:07 +0800] "GET /wcExportAndImport/page/login HTTP/1.1" 200 4824
0:0:0:0:0:0:0:1 - - [18/Feb/2020:11:22:08 +0800] "GET /wcExportAndImport/statics/login/css/headerfooterindex.css HTTP/1.1" 200 3264
0:0:0:0:0:0:0:1 - - [18/Feb/2020:11:22:08 +0800] "GET /wcExportAndImport/statics/login/css/login1.css HTTP/1.1" 200 6758
0:0:0:0:0:0:0:1 - - [18/Feb/2020:11:22:08 +0800] "GET /wcExportAndImport/statics/login/css/jquery.alerts.css HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [18/Feb/2020:11:22:08 +0800] "GET /wcExportAndImport/statics/login/css/login.css HTTP/1.1" 200 5666
0:0:0:0:0:0:0:1 - - [18/Feb/2020:11:22:08 +0800] "GET /wcExportAndImport/statics/login/js/jquery.cookie.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2020:11:22:09 +0800] "GET /wcExportAndImport/statics/login/js/jquery.alerts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2020:11:22:09 +0800] "GET /wcExportAndImport/statics/login/js/cas.login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2020:11:22:09 +0800] "GET /wcExportAndImport/statics/login/js/capsLock.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2020:11:22:09 +0800] "GET /wcExportAndImport/statics/login/js/png.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2020:11:22:09 +0800] "GET /wcExportAndImport/statics/login/js/jquery-1.5.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2020:11:22:09 +0800] "GET /wcExportAndImport/statics/img/login/user.png HTTP/1.1" 200 1319
0:0:0:0:0:0:0:1 - - [18/Feb/2020:11:22:09 +0800] "GET /wcExportAndImport/statics/img/login/password.png HTTP/1.1" 200 1227
0:0:0:0:0:0:0:1 - - [18/Feb/2020:11:22:09 +0800] "GET /wcExportAndImport/statics/img/login/loginleft1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2020:11:22:09 +0800] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [18/Feb/2020:11:22:29 +0800] "POST /wcExportAndImport/login HTTP/1.1" 200 4422
0:0:0:0:0:0:0:1 - - [18/Feb/2020:11:22:30 +0800] "GET /wcExportAndImport/statics/html/datapushhead.jsp HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [18/Feb/2020:11:22:30 +0800] "GET /wcExportAndImport/statics/layui/layui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2020:11:22:30 +0800] "GET /wcExportAndImport/statics/layui/css/layui.css HTTP/1.1" 200 69640
0:0:0:0:0:0:0:1 - - [18/Feb/2020:11:22:30 +0800] "GET /wcExportAndImport/statics/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2020:11:22:30 +0800] "GET /wcExportAndImport/statics/layui/lay/modules/element.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2020:11:22:34 +0800] "GET /wcExportAndImport/OrderStatistic/getOrderSShippingPlan HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [18/Feb/2020:11:23:03 +0800] "GET /wcExportAndImport/OrderStatistic/getOrderAArrivalPlan HTTP/1.1" 200 171
