127.0.0.1 - - [15/Feb/2020:13:15:37 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:02 +0800] "GET /wcExportAndImport/page/login HTTP/1.1" 200 4824
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:02 +0800] "GET /wcExportAndImport/statics/login/css/headerfooterindex.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:02 +0800] "GET /wcExportAndImport/statics/login/css/jquery.alerts.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:02 +0800] "GET /wcExportAndImport/statics/login/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:02 +0800] "GET /wcExportAndImport/statics/login/css/login1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:02 +0800] "GET /wcExportAndImport/statics/login/js/jquery-1.5.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:02 +0800] "GET /wcExportAndImport/statics/login/js/capsLock.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:02 +0800] "GET /wcExportAndImport/statics/login/js/jquery.cookie.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:02 +0800] "GET /wcExportAndImport/statics/login/js/jquery.alerts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:02 +0800] "GET /wcExportAndImport/statics/login/js/png.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:02 +0800] "GET /wcExportAndImport/statics/login/js/cas.login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:02 +0800] "GET /wcExportAndImport/statics/img/login/loginleft1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:02 +0800] "GET /wcExportAndImport/statics/img/login/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:02 +0800] "GET /wcExportAndImport/statics/img/login/password.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:16 +0800] "POST /wcExportAndImport/login HTTP/1.1" 200 13284
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:16 +0800] "GET /wcExportAndImport/statics/layui/layui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:16 +0800] "GET /wcExportAndImport/statics/layui/css/layui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:16 +0800] "GET /wcExportAndImport/statics/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:16 +0800] "GET /statics/bootstrap-3.3.7/dist/css/bootstrap.css HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:16 +0800] "GET /statics/layui/css/layui.css HTTP/1.1" 404 1113
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:16 +0800] "GET /statics/css/navigation.css HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:16 +0800] "GET /statics/css/xoms.layout.css HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:16 +0800] "GET /statics/js/jquery.min.js HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:16 +0800] "GET /wcExportAndImport/statics/css/navigation.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:16 +0800] "GET /statics/layui/layui.js HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:16 +0800] "GET /wcExportAndImport/statics/css/xoms.layout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:16 +0800] "GET /statics/bootstrap-3.3.7/dist/js/bootstrap.js HTTP/1.1" 404 1134
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:16 +0800] "GET /wcExportAndImport/statics/layui/layui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:17 +0800] "GET /wcExportAndImport/statics/bootstrap-3.3.7/dist/js/bootstrap.js HTTP/1.1" 304 -
